name,name_zh,site,address,suburb,region,lat,lng,category,languages,sunflower,services,translation,phone,email,website
"Grove Church, Hurstville Grove",,Hurstville Grove,"Cnr Hillcrest Avenue & Lansdowne Street, Hurstville Grove NSW 2220",Hurstville Grove,South,-33.9769,151.0878,translation,Chinese,yes,Sun 8:00am traditional Anglican; Sun 10:30am all ages w/ children's programme; Sun 5:00pm all ages,used during the service. Church also runs a Chinese Bible study group.,,office@grovechurch.org.au,grovechurch.org.au
"Grove Church, Hurstville Grove",,Oatley,"57 Rosa Street, Oatley NSW 2223",Oatley,South,-33.9824,151.0792,translation,Chinese,yes,Sun 8:00am traditional Anglican; Sun 10:30am all ages w/ children's programme; Sun 5:00pm all ages,used during the service. Church also runs a Chinese Bible study group.,,office@grovechurch.org.au,grovechurch.org.au
Hornsby Anglican Chinese Church,宏士比華人聖公會,,"Wahroonga Anglican – Pearces Corner, 1711 Pacific Highway, Wahroonga NSW 2076",Wahroonga,North,-33.7108,151.1112,congregation,Mandarin,,Sun 11:45am Mandarin 國語主日崇拜; Sun 11:45am English fellowship service,,,,hacc.org.au
Lidcombe Anglican Church,基督教禮勤聖公會,,"Cnr Mark & Taylor Streets, Lidcombe NSW 2141",Lidcombe,West,-33.8641,151.0431,congregation,Mandarin; Cantonese,,Sun 10:00am English; Sun 10:00am Mandarin; Sun 10:00am kids' church; Sun 11:30am Cantonese; Sun 11:30am Korean,,(02) 8021 8035,,lac.org.au
Lugarno Anglican Church,,,"3A Old Forest Rd, Lugarno NSW 2210",Lugarno,South,-33.9878,151.0475,congregation,Mandarin,,Sun 9:30am English service 上午9:30英语聚会 (with kids' program 主日聚会及儿童主日学); Sun 11:30am MANDARIN service 上午11:30国语聚会 (with kids' program); Sun 10:00am English classes 英语班 (school term 学校开学期间); every 2nd Fri 3–5pm primary school group K–Y6 儿童活动 (school term); Fri 5:30–8pm secondary school group Y5–12 青少年活动 (school term),,,,lugarnoanglican.org.au
Minto Anglican Church,明道聖公會,,"2 Redfern Road (cnr Pembroke Rd), Minto NSW 2566",Minto,South-West,-34.0382,150.8481,congregation,Mandarin,,Sun 9:00am family service English (livestreamed); Sun 11:15am Mandarin 中文崇拜; Sun 6:00pm night service English,,(02) 9603 4425,,mintoanglican.church
Norwest Anglican Church,西北聖公會,,"19 Chapel Lane, Baulkham Hills NSW 2153",Baulkham Hills,North-West,-33.7618,150.9928,congregation,Mandarin,,Sun 8:30am English; Sun 10:30am English; Sun 1:00pm Mandarin 中文崇拜; Sun 4:30pm English; Sun 6:30pm English,,,,norwest.org
Penshurst Anglican Church,磐石聖公會（聖約翰堂）,,"2 Carrington Street, Penshurst NSW 2222",Penshurst,South,-33.9653,151.0872,congregation,Bilingual,,"Sun 9:00am English; Sun 11:00am bilingual — joint worship and notices, then Chinese in the church and English in the hall",,(02) 9580 1217,,penshurstanglican.org
Philadelphia Anglican Church,聖公會友愛堂,,"9b Arnold Street, Killara NSW 2071 (Living Hope Anglican)",Killara,North,-33.7662,151.1618,congregation,Mandarin; Cantonese; Bilingual,,Sun 10:30am bilingual service — Cantonese and Mandarin 粵語及國語,,,,pacsyd.org.au
Rouse Hill Anglican Church,,,"Cnr Adelphi St & Mile End Rd, Rouse Hill NSW 2155",Rouse Hill,North-West,-33.6868,150.9181,translation,Chinese,yes,Sun 10:00am contemporary English — Chinese by Sunflower; Sun 5:00pm contemporary English,"confirmed by Chu Hao, who makes Sunflower, 21 Sep. Which service carries it isn't stated.",(02) 8882 9989,office@rhac.org.au,rhac.org.au
St Alban's Anglican Church Epping,愛平聖公會中文堂,,"3 Pembroke St, Epping NSW 2121",Epping,North-West,-33.7731,151.0821,unknown,,,"Sun 8:00am Eucharist; Sun 10:00am Eucharist (also on Zoom); Sun 6:00pm Taizé (2nd Sun of Feb, Apr, Jun, Aug, Oct, Nov)",,,,eppinganglicans.org.au
St Andrew's Cathedral,聖安德烈大教堂,,"Cnr George & Bathurst Streets, Sydney NSW 2000",Sydney,City,-33.8733,151.2064,translation,Mandarin; Cantonese,yes,Sun 10:30am English service 英文主日崇拜 (AI translation + printed sermon translation 提供AI實時翻譯和紙質的講道翻譯); Sun 10:30am Cathedral Kids Sunday School (English) 兒童主日學（英文）; Sun 12:00pm Mandarin Bible study 中午12點普通話查經小組; Sun 8:30am Holy Communion BCP; Sun 5:00pm Cathedral Evenings; Mon & Thu 5:15pm Evensong; Wed 6:00pm healing service,"10:30am service, plus printed sermon translation. QR-code AI interpreting also covers Mandarin, Cantonese, Korean, Japanese, Spanish.",,,sydneycathedral.com
St Anne's Anglican Ryde,聖安妮聖公會,,"42 Church Street, Ryde NSW 2112",Ryde,North-West,-33.8142,151.1052,congregation,Mandarin,,Sun 8:00am traditional English; Sun 10:00am contemporary English; Sun 10:00am Mandarin,,(02) 9809 1322,,stannes.org.au
St Barnabas Anglican Church Roseville East,,,"Cnr William Street & Macquarie Street, Roseville East NSW 2069",Roseville East,North,-33.7842,151.1855,translation,Mandarin,yes,Sun 9:00am traditional service; Sun 11:00am morning service with kids' church and youth group,"used in the services. Church also runs a MANDARIN GROWTH GROUP, and posts Mandarin sermon translations on its website.",,office@stbarneys.org.au,stbarneys.org.au
St Barnabas Broadway (Barneys),,,"57–61 Mountain St, Ultimo NSW 2007",Ultimo,City,-33.8836,151.1961,translation,Mandarin,,Sun 10:00am English w/ kids' programme and Mandarin translation; Sun 5:30pm English w/ Mandarin translation (supper 5:00pm),,,,barneys.org.au
St George's Hurstville,好士圍聖公會,,"2 The Avenue, Hurstville NSW 2220",Hurstville,South,-33.9673,151.1022,congregation,Mandarin; Cantonese,,Wed 1:30pm English prayer book; Sat 3:00pm Cantonese; Sun 9:30am Cantonese; Sun 9:30am English; Sun 11:00am Mandarin; Sun 4:00pm Mandarin; Sun 4:00pm English,,(02) 9580 1482,enquiry@stgeorgeshurstville.org.au,stgeorgeshurstville.org.au
St John Mark Anglican Church Chester Hill,聖約翰馬可聖公會,,"125 Proctor Parade, Chester Hill NSW 2162",Chester Hill,West,-33.8718,151.003,translation,Chinese,yes,Sun 9:00am traditional (BCP); Sun 10:30am multicultural family service with Sunflower AI translation,10:30am service only. Now the church's ONLY Chinese provision.,,,chesterhillanglicanchurch.com
St John's Anglican Cathedral Parramatta,基督教Parramatta圣公会圣约翰堂,,"195 Church Street, Parramatta NSW 2150 — Chinese services in the Parish Hall",Parramatta,West,-33.8151,151.0032,congregation,Mandarin; Cantonese,,"Sun 9:15am CANTONESE 粤语崇拜 (Parish Hall); Sun 11:00am MANDARIN 国语崇拜 (Parish Hall); Sun 8:00am English (Cathedral); 9:30am English (Cathedral); 9:30am Persian (Marsden Hall); 11:00am English (Cathedral); 4:00pm English (Parish Hall); 5:00pm English (Parish Hall); through the week 成长小组 growth groups, 信仰探索 faith exploration, 儿童事工 children's ministry, 青少年崇拜 youth worship, 线上英文班 online English classes, 欢乐时光 fellowship",,(02) 9891 0705; (02) 9891 0700,chinesechurch@stjohnscathedral.org.au; office@stjohnscathedral.org.au,chinese.stjohnscathedral.org.au
St John's Anglican Church Campsie,金時聖公會,,"26 Anglo Road, Campsie NSW 2194",Campsie,Inner West,-33.9107,151.1006,congregation,Mandarin,,Sun 10:00–11:30am Easy English (church building); Sun 10:00–11:30am Mandarin (hall),,(02) 9718 2879,,campsiechurch.org.au
St John's Anglican Church North Ryde,樂福愛聖公會,,"152 Coxs Rd, North Ryde NSW 2113",North Ryde,North-West,-33.7932,151.1234,translation,Chinese,yes,Sun 9:00am English — Chinese by Sunflower,"confirmed by Chu Hao, who makes Sunflower, 21 Sep. Which service carries it isn't stated.",(02) 9878 3974,office@northrydeanglican.org.au,northrydeanglican.org.au
St Mark's Anglican Church Granville,聖公會格蘭維聖馬可堂,,"39 Jamieson Street, Granville NSW 2142",Granville,West,-33.8332,151.0112,congregation,Mandarin; Cantonese,,Sun 9:00am English traditional APBA choral eucharist; Sun 11:00am Chinese (Mandarin and Cantonese); Sun 11:00am youth fellowship,,(02) 9637 1073,office@stmarks.net.au,stmarks.net.au
St Matthew's Anglican Church West Pennant Hills,聖公會聖馬太堂,,"1 New Line Road (cnr Castle Hill Rd), West Pennant Hills NSW 2125",West Pennant Hills,North-West,-33.7432,151.0402,congregation,Mandarin; Cantonese,yes,Sun 7:45am traditional Anglican; Sun 9:30am multi-generational English; Sun 11:30am Cantonese 粵語主日崇拜 with Mandarin by Sunflower; Sun 6:00pm contemporary English; Wed 10:30am traditional simplified Anglican,"translates English into Chinese, and Cantonese into Mandarin, at the 11:30am service",(02) 8568 8773,office@stmatts.org.au,stmatts.au
St Matthias Centennial Park,,,"471–475 Oxford St, Paddington NSW 2021",Paddington,East,-33.8905,151.2312,translation,Chinese,yes,Sun 10:00am English w/ kids — Chinese by Sunflower; Sun 5:00pm English w/ kids,"confirmed by Chu Hao, who makes Sunflower, 21 Sep. Which service carries it isn't stated.",,,matthias.church
St Paul's Anglican Church Bankstown,賓士鎮聖公會聖保羅堂,,"461 Chapel Rd, Bankstown NSW 2200",Bankstown,South-West,-33.9196,151.0348,congregation,Mandarin,,Sun 8:00am traditional English; Sun 10:00am Church at Ten contemporary English; Sun 2:00–3:30pm Mandarin 華語主日崇拜,,(02) 9790 1883,,bankstown.church
St Paul's Anglican Church Carlingford,圣保罗圣公会 Carlingford 中文堂,,"32 Moseley St, Carlingford NSW 2118",Carlingford,North-West,-33.7760836,151.0481954,congregation,Mandarin; Cantonese,,"Sun 11:15am Mandarin 国语（普通话）崇拜, with Mandarin and Cantonese growth groups 并设有国语和粤语成长小组; activities for preschool, primary and secondary students 设有学前儿童、小学和中学生的活动",,,,stpaulsanglican.org.au/zh/services/
St Paul's Anglican Church Kogarah,高嘉華聖公會聖保羅堂,,"57 Princes Highway, Kogarah NSW 2217",Kogarah,South,-33.9641,151.1331,congregation,Bilingual,,Sun 9:00am CHINESE parallel service; Sun 9:15am ENGLISH service; Sunday school and Bible study after,,(02) 9587 5951,contact@stpaulskogarah.com.au,stpaulskogarah.com
St Paul's Chatswood,,,"1–5 View Street, Chatswood NSW 2067",Chatswood,North,-33.7972,151.1828,translation,Chinese,yes,Sun 9:00am English — Chinese by Sunflower; Sun 10:30am English,"confirmed by Chu Hao, who makes Sunflower, 21 Sep. Which service carries it isn't stated.",(02) 8440 8400,,stpauls.org.au
St Philip's Anglican Church Eastwood,活力聖公會,,"29 Clanalpine St, Eastwood NSW 2122",Eastwood,North-West,-33.7903,151.0823,congregation,Mandarin; Cantonese,,Sun 8:00am English; 9:30am English; 9:30am Mandarin; 9:30am Korean; 11:15am Cantonese; 5:00pm Mandarin; 6:30pm English; plus St Mark's Ermington 8:30am & 10:00am English,,,,stphils.org.au
St Thomas' Anglican Church Auburn,基督教聖公會聖多馬堂,,"3A Provincial Street, Auburn NSW 2144",Auburn,West,-33.8512,151.0332,congregation,Mandarin,,Sun 9:00am English; Sun 10:30am Mandarin; Sun 6:00pm English contemporary,,,stthomasauburn@gmail.com,stthomasauburn.com.au
